title,author,genre,rating,description,image_url,cover_url
The Psychology of Money,Morgan Housel,Personal Finance,4.5,"The book weaves together personal anecdotes, historical case studies, and behavioral economics to explain how our perceptions of money shape our decisions. It challenges conventional wisdom about wealth, risk, and luck, urging readers to adopt a long‑term, psychologically informed approach to financial success.",,https://covers.openlibrary.org/b/id/10389354-M.jpg
Beloved,Toni Morrison,Historical Fiction,4.5,"Set after the American Civil War, the novel follows Sethe, a former slave who is haunted by the ghost of her dead child, as she struggles to reconcile her past with her present. Themes of memory, motherhood, and the lingering trauma of slavery are explored through lyrical prose and haunting symbolism.",,https://covers.openlibrary.org/b/id/8261367-M.jpg
Snow,Orson Scott Card,Science Fiction,4.0,"In a future where snow is a scarce commodity, a young boy named Snow is recruited by a secret organization to become a ""snowman""—a soldier who can survive in the harsh, frozen wastelands. The novel explores themes of survival, loyalty, and the moral complexities of war, as Snow navigates a world where the very climate is a weapon.",,https://covers.openlibrary.org/b/id/392508-M.jpg
The Color Purple,Alice Walker,Historical Fiction,4.5,"The novel follows Celie, an African American woman in the early 20th-century South, as she overcomes abuse and finds her voice through letters to God and her sister. Themes of resilience, sisterhood, and the transformative power of self-acceptance are woven into a poignant exploration of race, gender, and spirituality.",,https://covers.openlibrary.org/b/id/8564628-M.jpg
"Thinking, Fast and Slow",Daniel Kahneman,Psychology,4.5,"In ""Thinking, Fast and Slow,"" Daniel Kahneman explores the dual-system theory of the human mind, contrasting the fast, intuitive, and emotional system with the slow, deliberative, and logical one. The book examines how these systems shape our judgments, decisions, and everyday behavior, revealing the cognitive biases that often lead us astray.",,https://covers.openlibrary.org/b/id/13290711-M.jpg
The 7 Habits of Highly Effective People,Stephen R. Covey,Self-Help / Personal Development,4.5,"Stephen Covey outlines seven core habits that empower individuals to achieve personal and professional effectiveness, emphasizing principles such as proactivity and synergy. The book blends timeless wisdom with practical exercises, encouraging readers to align their actions with a character-based ethic for lasting success.",,https://covers.openlibrary.org/b/id/10079937-M.jpg
The Giver,Lois Lowry,Young Adult Dystopian,4.5,"In a seemingly perfect society, a boy named Jonas is chosen to receive the memories of the past, revealing the hidden pain behind the community's enforced sameness. The novel explores themes of individuality, memory, and the cost of a utopian illusion.",,https://covers.openlibrary.org/b/id/8352502-M.jpg
The Name of the Wind,Patrick Rothfuss,Fantasy,4.5,"A gifted orphan named Kvothe rises from a traveling troupe to a legendary figure, chronicling his adventures and the mysteries of the world in a lyrical, first-person narrative. Themes of memory, the power of storytelling, and the cost of ambition intertwine as he seeks knowledge and vengeance in a richly detailed, mythic setting.",,https://covers.openlibrary.org/b/id/11480483-M.jpg
The Secret History,Donna Tartt,Literary Fiction,4.2,"A small group of elite college students in Vermont become entangled in a murder that forces them to confront the moral consequences of their privileged lives. The novel explores themes of friendship, guilt, and the seductive allure of intellectual elitism.",,https://covers.openlibrary.org/b/id/744854-M.jpg
Divergent,Veronica Roth,Young Adult / Dystopian,4.2,"In a fractured Chicago society divided into five factions, 16‑year‑old Tris Prior discovers she is Divergent, a rare individual who does not fit neatly into any one group. As she navigates political intrigue, betrayal, and her own identity, the novel explores themes of conformity, resistance, and the power of choice.",,https://covers.openlibrary.org/b/id/13274634-M.jpg
The Catcher in the Rye,J.D. Salinger,Coming-of-age Fiction,4.2,"The novel follows 16-year-old Holden Caulfield as he recounts his experiences in New York City after being expelled from prep school, exploring themes of alienation, innocence, and the phoniness of adult society. Through Holden's cynical narration, the story examines the painful transition from adolescence to adulthood and the search for authenticity in a world that often feels superficial.",,https://covers.openlibrary.org/b/id/9273490-M.jpg
The Hobbit,J.R.R. Tolkien,Fantasy,4.5,"Bilbo Baggins, a reluctant hobbit, embarks on a perilous quest to reclaim a lost dwarven kingdom from the dragon Smaug, guided by the wizard Gandalf and a band of dwarves. The novel explores themes of adventure, courage, and the transformative power of unexpected heroism.",,https://covers.openlibrary.org/b/id/14627509-M.jpg
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,4.5,"Harry Potter discovers he is a wizard and attends Hogwarts School of Witchcraft and Wizardry, where he learns about friendship, bravery, and the power of choice. The novel follows his first-year adventures as he confronts the dark wizard Voldemort and uncovers the mystery of the Philosopher's Stone.",,https://covers.openlibrary.org/b/id/15155833-M.jpg
Life of Pi,Yann Martel,Adventure,4.2,"A young Indian boy named Pi is shipwrecked in the Pacific Ocean and finds himself stranded on a lifeboat with a Bengal tiger, a zebra, a hyena, and an orangutan. The novel explores themes of faith, survival, storytelling, and the blurred line between reality and imagination.",,https://covers.openlibrary.org/b/id/12840573-M.jpg
Fahrenheit 451,Ray Bradbury,Dystopian fiction,4.5,"Set in a future society where books are banned, the novel follows Guy Montag, a fireman who burns books, as he becomes disillusioned and rebels against the oppressive regime. Themes of censorship, the power of knowledge, and the dangers of state control are explored through Montag’s awakening and the novel’s chilling depiction of a society that values conformity over critical thought.",,https://covers.openlibrary.org/b/id/12993656-M.jpg
The Picture of Dorian Gray,Oscar Wilde,Gothic fiction,4.5,"A young man, Dorian Gray, sells his soul to preserve his beauty, while his portrait ages and records his sins. The novel explores themes of aestheticism, moral duplicity, and the consequences of living a life of hedonism.",,https://covers.openlibrary.org/b/id/14314858-M.jpg
Little Women,Louisa May Alcott,Classic Fiction,4.5,"The novel follows the March sisters—Meg, Jo, Beth, and Amy—as they navigate the challenges of growing up, love, and family during the Civil War era, ultimately discovering the value of resilience, independence, and sisterhood. Themes of ambition, gender roles, and the pursuit of personal fulfillment are woven into their everyday struggles and triumphs.",,https://covers.openlibrary.org/b/id/8775559-M.jpg
Les Misérables,Victor Hugo,Historical Fiction,4.5,"Set in 19th-century France, the novel follows ex-convict Jean Valjean as he seeks redemption while being relentlessly pursued by the lawman Javert. Through its sweeping narrative, it explores themes of justice, compassion, and the enduring struggle between oppression and hope.",,https://covers.openlibrary.org/b/id/12721865-M.jpg
Crime and Punishment,Fyodor Dostoevsky,Philosophical novel,4.5,"Raskolnikov, a former student living in St. Petersburg, murders a pawnbroker and her sister, believing he can transcend moral law. The novel explores guilt, redemption, and the psychological torment that follows his crime, ultimately questioning the nature of justice and humanity.",,https://covers.openlibrary.org/b/id/10040573-M.jpg
The Shining,Stephen King,Horror,4.5,"A family moves into an isolated hotel where the father, Jack Torrance, becomes increasingly influenced by supernatural forces, leading to a terrifying struggle for survival. The novel explores themes of isolation, the fragility of sanity, and the destructive power of familial bonds.",,https://covers.openlibrary.org/b/id/12376585-M.jpg
Ready Player One,Ernest Cline,Science Fiction,4.5,"In a dystopian future, Wade Watts embarks on a virtual treasure hunt in the OASIS, a sprawling digital universe, to claim the legacy of its creator. The novel explores themes of nostalgia, corporate control, and the power of community in a hyperconnected world.",,https://covers.openlibrary.org/b/id/8737626-M.jpg
Foundation,Isaac Asimov,Science Fiction,4.5,"Set in a far future where a vast Galactic Empire is on the brink of collapse, the story follows mathematician Hari Seldon as he predicts the fall and attempts to preserve knowledge through the Foundation. Themes of deterministic history, the rise and fall of civilizations, and the power of science and foresight are explored.",,https://covers.openlibrary.org/b/id/14612610-M.jpg
"I, Robot",Isaac Asimov,Science Fiction,4.5,"I, Robot is a collection of interlinked short stories that explore the ethical and societal implications of robotics through the lens of Asimov's Three Laws. The narrative examines human-robot interactions, the limits of artificial intelligence, and the moral dilemmas that arise when machines gain autonomy.",,https://covers.openlibrary.org/b/id/12385229-M.jpg
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,4.2,"In a post‑apocalyptic future, bounty hunter Rick Deckard hunts down rogue androids that mimic humans, raising questions about identity and empathy. The novel explores the moral implications of artificial life, the value of authenticity, and the blurred line between human and machine.",,https://covers.openlibrary.org/b/id/207515-M.jpg
The Left Hand of Darkness,Ursula K. Le Guin,Science Fiction,4.5,"A lone envoy from Earth, Genly Ai, arrives on the planet Gethen to negotiate a political alliance, only to find its inhabitants capable of changing sex at will, challenging his preconceptions about gender and identity. Through his journey, Le Guin explores themes of empathy, cultural relativism, and the fluidity of human relationships in a society where gender is not fixed.",,https://covers.openlibrary.org/b/id/10618463-M.jpg
The Time Machine,H. G. Wells,Science Fiction,4.5,"A pioneering science fiction novel in which a Victorian scientist invents a machine that travels forward in time, revealing a dystopian future dominated by the Eloi and the Morlocks. The story explores themes of social class, evolution, and the consequences of unchecked technological progress.",,https://covers.openlibrary.org/b/id/9009316-M.jpg
The War of the Worlds,H. G. Wells,Science Fiction,4.5,"A Martian invasion of Earth triggers a desperate struggle for survival, as humanity confronts advanced alien technology and the fragility of civilization. The novel explores themes of imperialism, scientific hubris, and the resilience of the human spirit in the face of existential threat.",,https://covers.openlibrary.org/b/id/36314-M.jpg
Coraline,Neil Gaiman,Fantasy,4.5,"Coraline, a curious and brave girl, discovers a secret door in her new home that leads to an alternate reality where her parents seem perfect but hide sinister intentions. The story explores themes of bravery, identity, and the dangers of longing for an idealized world.",,https://covers.openlibrary.org/b/id/14171421-M.jpg
The Ocean at the End of the Lane,Neil Gaiman,Fantasy,4.5,"A middle-aged man returns to his childhood home and recalls a series of supernatural events that occurred when he was nine, involving a mysterious woman and a dark presence lurking beneath the earth. The novel explores memory, the loss of innocence, and the blurred line between myth and reality.",,https://covers.openlibrary.org/b/id/7258156-M.jpg
Station Eleven,Emily St. John Mandel,Post-apocalyptic fiction,4.5,"Station Eleven follows the interconnected lives of a traveling Shakespearean theater troupe and their former pop star friend as they navigate a world devastated by a pandemic, exploring how art, memory, and human connection endure amid collapse. The novel weaves past and present to examine the fragility of civilization, the power of storytelling, and the enduring hope that emerges from shared humanity.",,https://covers.openlibrary.org/b/id/7369961-M.jpg
World War Z,Max Brooks,Historical Fiction,4.2,"A global pandemic of zombies turns humanity into a desperate fight for survival, told through a series of survivor interviews. Themes of resilience, societal collapse, and the human capacity for cooperation are explored amid the chaos.",,https://covers.openlibrary.org/b/id/168106-M.jpg
Cloud Atlas,David Mitchell,Literary Fiction,4.5,"The novel weaves six interlocking stories spanning centuries, each echoing the others in themes of reincarnation, freedom, and the enduring impact of individual actions. Through its intricate structure, it explores how personal choices ripple across time, challenging readers to consider the interconnectedness of humanity.",,https://covers.openlibrary.org/b/id/6714077-M.jpg
Eleanor Oliphant Is Completely Fine,Gail Honeyman,Contemporary Fiction,4.3,"Eleanor Oliphant, a socially awkward office worker, navigates a routine life that is disrupted when she develops an unexpected friendship with a coworker, leading her to confront her traumatic past. The novel explores themes of loneliness, mental health, and the transformative power of human connection.",,https://covers.openlibrary.org/b/id/8415055-M.jpg
The Da Vinci Code,Dan Brown,Thriller,4.2,"A symbologist and cryptographer uncover a secret society's hidden truths while racing against time to solve a series of puzzles, revealing a controversial reinterpretation of Christian history. The novel blends fast‑paced action with intellectual intrigue, exploring themes of faith, conspiracy, and the power of knowledge.",,https://covers.openlibrary.org/b/id/9255229-M.jpg
The Hound of the Baskervilles,Arthur Conan Doyle,Mystery,4.5,"A detective novel that follows Sherlock Holmes and Dr. Watson as they investigate the mysterious death of Sir Charles Baskerville, uncovering a legend of a supernatural hound and a family curse. Themes of rationalism versus superstition, the power of folklore, and the dangers of unchecked greed are explored through suspenseful twists and atmospheric settings.",,https://covers.openlibrary.org/b/id/8063264-M.jpg
Angels & Demons,Dan Brown,Thriller,3.5,"A Harvard symbologist and a physicist race against time to stop a secret society from unleashing a deadly toxin on the Vatican, while unraveling a conspiracy that blurs the line between science and faith. The novel explores themes of faith versus reason, the power of secret knowledge, and the moral consequences of unchecked ambition.",,https://covers.openlibrary.org/b/id/11408459-M.jpg
The Goldfinch,Donna Tartt,Literary Fiction,4.2,"A young man named Theo Decker survives a terrorist attack at a museum, only to lose his mother and become obsessed with a stolen painting, the Goldfinch, which becomes a symbol of his longing and guilt. The novel weaves themes of loss, identity, and the transformative power of art through Theo’s tumultuous journey across New York and beyond.",,https://covers.openlibrary.org/b/id/8771366-M.jpg
Normal People,Sally Rooney,Contemporary Fiction,4.3,"The novel follows the complex relationship between Marianne and Connell as they navigate the transition from high school to university, exploring how intimacy and distance shape their identities. Themes of class, mental health, and the subtle power dynamics of love are woven through their evolving connection.",,https://covers.openlibrary.org/b/id/8794265-M.jpg
The Fault in Our Stars,John Green,Young Adult Fiction,4.5,"The novel follows Hazel Grace Lancaster, a sixteen‑year‑old cancer patient, as she meets and falls in love with Augustus Waters, a former basketball player who has also battled cancer. Together they navigate the complexities of illness, mortality, and love, ultimately confronting the idea that even in the face of tragedy, human connection can bring meaning and hope.",,https://covers.openlibrary.org/b/id/7418786-M.jpg
Looking for Alaska,John Green,Young Adult Fiction,4.3,"A college freshman, Miles ""Pudge"" Halter, enrolls at a boarding school where he meets the enigmatic Alaska Young. The novel follows his quest for meaning, the tragedy of first love, and the search for identity amid loss and self-discovery.",,https://covers.openlibrary.org/b/id/12614602-M.jpg
The Perks of Being a Wallflower,Stephen Chbosky,Young Adult Fiction,4.2,"A shy freshman navigates the complexities of high school, friendship, and first love while grappling with trauma and mental health, all conveyed through candid, letter‑written narration. The novel explores themes of identity, belonging, and the healing power of honest connection.",,https://covers.openlibrary.org/b/id/14315052-M.jpg
The Secret Garden,Frances Hodgson Burnett,Children's Literature,4.5,"A neglected orphan named Mary Lennox discovers a locked garden on her uncle’s estate and, with the help of a local boy and her sickly cousin, brings it back to life. The story explores themes of healing, friendship, and the transformative power of nature.",,https://covers.openlibrary.org/b/id/12622062-M.jpg
Matilda,Roald Dahl,Children's Literature,4.5,"Matilda is a story about a brilliant, precocious girl with telekinetic powers who overcomes neglectful parents and a tyrannical headmistress, using her intellect and magic to stand up for herself and her classmates. Themes of empowerment, the power of knowledge, resilience, and the importance of kindness drive the narrative.",,https://covers.openlibrary.org/b/id/12889769-M.jpg
The Wonderful Wizard of Oz,L. Frank Baum,Children's literature,4.5,"In a land of wonder, Dorothy and her companions journey to the Emerald City to seek the Wizard's help, only to discover that the true power lies within themselves. The story explores themes of friendship, courage, and the quest for home, blending adventure with timeless moral lessons.",,https://covers.openlibrary.org/b/id/552443-M.jpg
A Wrinkle in Time,Madeleine L. Stowe,Science Fiction,4.5,"When young Meg Murry and her brother Charles Wallace are guided by the enigmatic Mrs. Whatsit, they embark on a perilous journey through space and time to rescue their father from the clutches of the malevolent IT. The novel explores themes of love, individuality, and the battle between light and darkness, blending scientific wonder with spiritual insight.",,https://covers.openlibrary.org/b/id/8709146-M.jpg
The Wind in the Willows,Kenneth Grahame,Children's literature,4.5,"The story follows the adventures of Mole, Rat, Badger, and the mischievous Toad as they navigate the English countryside, exploring friendship, loyalty, and the dangers of unchecked ambition. Themes of pastoral nostalgia, the importance of community, and the contrast between the tranquil riverbank and the chaotic city life are woven throughout.",,https://covers.openlibrary.org/b/id/13335427-M.jpg
The Adventures of Sherlock Holmes,Arthur Conan Doyle,"Mystery, Detective Fiction",4.5,"The Adventures of Sherlock Holmes is a collection of twelve short stories featuring the detective Sherlock Holmes and his friend Dr. John Watson, who solve complex crimes through keen observation and deductive reasoning. Themes of rationality versus superstition, the power of intellect, and the social dynamics of Victorian London are explored across tales such as 'A Scandal in Bohemia' and 'The Red-Headed League'.",,https://covers.openlibrary.org/b/id/6717853-M.jpg
Robinson Crusoe,Daniel Defoe,Adventure,4.5,"A castaway named Robinson Crusoe survives on a deserted island, learning to master his environment and confront isolation. The novel explores themes of resilience, colonialism, and the human capacity for adaptation.",,https://covers.openlibrary.org/b/id/368541-M.jpg
The Road,Cormac McCarthy,Post-apocalyptic Fiction,4.5,"A father and his young son journey across a bleak, ash-covered landscape, struggling to survive while maintaining their humanity. The novel explores themes of love, hope, and the moral choices faced in a world devoid of civilization.",,https://covers.openlibrary.org/b/id/198120-M.jpg
The Road Less Traveled,M. Scott Peck,Self-Help / Psychology,4.2,"In this seminal work, Peck blends clinical insight with spiritual wisdom to explore the nature of love, discipline, and personal growth. He argues that true fulfillment requires confronting pain, embracing responsibility, and cultivating a disciplined, compassionate life.",,https://covers.openlibrary.org/b/id/4434829-M.jpg
How to Win Friends and Influence People,Dale Carnegie,Self-Help / Personal Development,4.5,"This classic self-help guide offers practical advice on interpersonal skills, emphasizing empathy, active listening, and genuine interest in others. It teaches readers how to build rapport, influence opinions, and achieve personal and professional success through positive communication.",,https://covers.openlibrary.org/b/id/13314878-M.jpg
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non-fiction / Biography / Medical History,4.5,"The book chronicles the life of Henrietta Lacks, whose cancer cells were taken without her knowledge and became the first immortal human cell line, while also exploring the ethical dilemmas of medical research and the intersection of race, class, and science. Rebecca Skloot weaves personal family history with scientific discovery, revealing how Henrietta’s legacy continues to shape modern medicine and raises questions about consent, exploitation, and the human cost of scientific progress.",,https://covers.openlibrary.org/b/id/8364866-M.jpg
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Popular Science,4.5,"Astrophysics for People in a Hurry is a concise guide that distills complex cosmological concepts into bite‑sized explanations, covering the origins of the universe, the nature of dark matter, and the future of humanity in space. It emphasizes the interconnectedness of science and everyday life, encouraging readers to appreciate the awe‑inspiring scale of the cosmos while staying grounded in practical curiosity.",,https://covers.openlibrary.org/b/id/7984709-M.jpg
Never Let Me Go,Kazuo Ishiguro,Literary Fiction,4.2,"The novel follows the lives of three friends—Kathy, Tommy, and Ruth—who grow up in a mysterious boarding school and gradually uncover the grim reality of their existence as organ donors. Through their bittersweet memories and quiet defiance, Ishiguro explores themes of humanity, memory, and the ethical limits of scientific progress.",,https://covers.openlibrary.org/b/id/1047334-M.jpg
The Remains of the Day,Kazuo Ishiguro,Literary Fiction,4.5,"Set in post-World War II England, the novel follows Stevens, a devoted butler, as he reflects on a life of duty and missed opportunities while traveling across the country. Through his introspection, the story explores themes of loyalty, repression, and the cost of personal sacrifice.",,https://covers.openlibrary.org/b/id/95742-M.jpg
A Pale View of Hills,Kazuo Ishiguro,Historical Fiction,4.5,"The novel follows Noriko, a Japanese woman who emigrates to England and reflects on her past life in Hiroshima, grappling with memory and the trauma of war. Through her recollections and interactions with her new community, the story explores themes of loss, identity, and the elusive nature of truth.",,https://covers.openlibrary.org/b/id/6730644-M.jpg
The Sun Also Rises,Ernest Hemingway,Literary Fiction,4.2,"The novel follows a group of expatriates in 1920s Europe as they travel from Paris to Pamplona, chasing the thrill of bullfighting and the elusive sense of purpose. Themes of disillusionment, love, and the search for meaning amid post‑war emptiness are woven through their restless wanderings.",,https://covers.openlibrary.org/b/id/78741-M.jpg
The Age of Innocence,Edith Wharton,Historical Fiction,4.2,"Set in 1870s New York high society, the novel follows Newland Archer as he navigates the rigid social codes while falling in love with the unconventional Countess Olenska, challenging the era's expectations of marriage and propriety. Through lush prose, Wharton examines themes of duty, desire, and the constraints of class, ultimately portraying the bittersweet cost of adhering to societal norms.",,https://covers.openlibrary.org/b/id/11196262-M.jpg
The Sound and the Fury,William Faulkner,Southern Gothic,4.5,"The novel follows the decline of the Compson family in the American South through four distinct narrative voices, each revealing the family's fractured relationships and the passage of time. Themes of memory, loss, and the relentless march of history intertwine as the characters grapple with their past and the inevitable erosion of their once-proud lineage.",,https://covers.openlibrary.org/b/id/8292212-M.jpg
As I Lay Dying,William Faulkner,Southern Gothic,4.5,"The novel follows the Bundren family's arduous journey to bury their matriarch, Addie, in her hometown, revealing the family's hidden tensions and individual struggles. Through a fragmented, first-person narrative, Faulkner explores themes of death, identity, and the relentless forces of the American South.",,https://covers.openlibrary.org/b/id/9327716-M.jpg
Mrs Dalloway,Virginia Woolf,Modernist fiction,4.5,"Clarissa Dalloway prepares for a party in post‑war London, while her memories and the lives of those around her intertwine across the day. The novel explores themes of mental illness, time, and the lingering effects of war on ordinary lives.",,https://covers.openlibrary.org/b/id/6397580-M.jpg
To the Lighthouse,Virginia Woolf,Modernist Fiction,4.5,"The novel follows the Ramsay family as they travel to the Isle of Skye, interweaving their personal dramas with the passage of time. It explores themes of perception, the fluidity of memory, and the elusive nature of artistic creation.",,https://covers.openlibrary.org/b/id/8231846-M.jpg
The Member of the Wedding,Carson McCullers,Southern Gothic,4.2,"A young girl named Frankie, living in a small Southern town, feels alienated from her family and community as she navigates the complexities of adolescence and longing for belonging. The novel explores themes of identity, isolation, and the yearning for connection through Frankie's poignant observations and her desire to join the wedding she watches from the sidelines.",,https://covers.openlibrary.org/b/id/394706-M.jpg
The Awakening,Kate Chopin,Classic literature,4.3,"The novel follows Edna Pontellier, a newlywed in late 19th-century Louisiana, as she grapples with societal expectations and her own desires for independence and artistic expression. Through her increasingly solitary excursions and strained relationships, Chopin explores themes of gender roles, self-actualization, and the oppressive constraints of domestic life.",,https://covers.openlibrary.org/b/id/8750241-M.jpg
My Antonia,Willa Cather,Historical Fiction,4.2,"Set in the late 19th-century Great Plains, the novel follows the friendship between Jim Burden and Antonia Shimerda as they navigate the hardships of pioneer life. Themes of memory, identity, and the clash between immigrant heritage and American frontier ideals are woven through their shared journey.",,https://covers.openlibrary.org/b/id/8369013-M.jpg
The Death of the Heart,John D. MacDonald,Mystery,3.5,"A heart transplant patient finds himself entangled in a web of deceit when the donor's past resurfaces, threatening both his life and the lives of those around him. The novel explores themes of identity, morality, and the fragility of human connections.",,https://covers.openlibrary.org/b/id/71487-M.jpg
A Room of One's Own,Virginia Woolf,Essay / Feminist Literature,4.5,"In this seminal essay, Woolf argues that a woman must have both financial independence and a personal space to write, using a fictional narrative of a woman writer to illustrate her points. The work critiques gender inequality in literary history and advocates for women's intellectual freedom and creative autonomy.",,https://covers.openlibrary.org/b/id/6559057-M.jpg
The Good Earth,Pearl S. Buck,Historical Fiction,4.5,"The novel follows the life of Wang Lung, a Chinese peasant who rises from poverty to wealth through hard work and perseverance, only to face the moral and social challenges that accompany his newfound status. Themes of land, family, and the cyclical nature of fortune underscore the enduring human struggle for dignity and belonging.",,https://covers.openlibrary.org/b/id/2626823-M.jpg
The Painted Veil,W. Somerset Maugham,Historical Fiction,4.2,"A disillusioned couple, Kitty and Walter Fane, travel to a cholera-stricken Chinese village where their marriage is tested by betrayal, illness, and the harsh realities of colonial life. The novel explores themes of redemption, the fragility of human relationships, and the transformative power of confronting one's own flaws.",,https://covers.openlibrary.org/b/id/745008-M.jpg
Of Human Bondage,W. Somerset Maugham,Literary Fiction,4.2,"The novel follows Philip Carey, a young man with a club foot, as he navigates a life of poverty, ambition, and unrequited love in early 20th-century England and Paris. Themes of self-discovery, the struggle for artistic fulfillment, and the complexities of human relationships are explored through his relentless pursuit of meaning and acceptance.",,https://covers.openlibrary.org/b/id/5277723-M.jpg
The Razor's Edge,W. Somerset Maugham,Literary Fiction,4.2,"A young war veteran, Larry Darrell, abandons conventional success to pursue a spiritual quest in the Himalayas, while his friends grapple with the choices of love, ambition, and societal expectations. The novel explores themes of destiny, the search for meaning, and the tension between materialism and transcendence.",,https://covers.openlibrary.org/b/id/97505-M.jpg
Brideshead Revisited,Evelyn Waugh,Historical Fiction,4.5,"Set in pre‑World War II England, the novel follows Charles Ryder’s nostalgic journey through the aristocratic world of the Flyte family, exploring themes of faith, love, and the decline of the British aristocracy. Through lush prose and complex characters, Waugh examines the interplay between personal desire and societal expectation, ultimately questioning the permanence of tradition.",,https://covers.openlibrary.org/b/id/2560441-M.jpg
A Confederacy of Dunces,John Kennedy Toole,"Comedy, Satire",4.5,"Set in 1960s New Orleans, the novel follows Ignatius J. Reilly, an eccentric, self-proclaimed intellectual, as he navigates a series of misadventures that expose the absurdities of modern society. Through his encounters with a colorful cast of characters, the book satirizes cultural pretensions, bureaucratic incompetence, and the clash between tradition and progress.",,https://covers.openlibrary.org/b/id/2195715-M.jpg
The Moviegoer,Walker Percy,Philosophical Fiction,4.2,"In the quiet streets of New Orleans, a young man named Binx Bolling seeks meaning through a series of chance encounters and cinematic escapades, confronting the absurdity of existence. The novel weaves existential questions with Southern cultural texture, exploring identity, faith, and the search for authenticity.",,https://covers.openlibrary.org/b/id/291181-M.jpg
Rabbit Is Rich,John Updike,Literary Fiction,4.2,"The novel follows the life of Harry ""Rabbit"" Angstrom as he navigates the complexities of suburban life, career, and personal relationships in the 1970s, culminating in a pivotal decision that reshapes his future. Themes of identity, ambition, and the elusive pursuit of the American Dream are explored through vivid prose and introspective dialogue.",,https://covers.openlibrary.org/b/id/291193-M.jpg
The Corrections,Jonathan Franzen,Literary Fiction,4.2,"The Corrections follows the dysfunctional Lambert family as they confront personal and societal upheavals during a cross-country trip, revealing generational tensions and the fragility of American suburban life. Themes of identity, responsibility, and the search for meaning intertwine with sharp social commentary on modern America.",,https://covers.openlibrary.org/b/id/9273701-M.jpg
"Rabbit, Run",John Updike,Literary Fiction,4.2,"The novel follows Harry ""Rabbit"" Angstrom, a disenchanted suburban husband who abandons his family to escape the monotony of his life, only to find that freedom comes with its own set of challenges. Through Rabbit's restless journey, Updike explores themes of escape, identity, and the elusive pursuit of the American Dream.",,https://covers.openlibrary.org/b/id/13028851-M.jpg
Middlesex,Jeffrey Eugenides,Historical Fiction,4.5,"The novel follows the life of Cal, an intersex man, tracing his Greek immigrant family's history across three generations in Detroit, while exploring themes of identity, gender, and the American Dream. Through lush prose and a sweeping narrative, Eugenides examines how biology, culture, and fate intertwine to shape personal destiny.",,https://covers.openlibrary.org/b/id/12367196-M.jpg
